NTAName,avg,NTA2020,date
Greenpoint,4.935864247738522,BK0101,2024-12-28 19:18:22.462790
Williamsburg,9.238018089807019,BK0102,2024-12-28 19:18:22.462790
South Williamsburg,10.052980852201992,BK0103,2024-12-28 19:18:22.462790
East Williamsburg,6.744250167050691,BK0104,2024-12-28 19:18:22.462790
Brooklyn Heights,9.844433191964285,BK0201,2024-12-28 19:18:22.462790
Downtown Brooklyn-DUMBO-Boerum Hill,9.718089724625617,BK0202,2024-12-28 19:18:22.462790
Fort Greene,7.813019904423681,BK0203,2024-12-28 19:18:22.462790
Clinton Hill,5.9230054971590915,BK0204,2024-12-28 19:18:22.462790
Brooklyn Navy Yard,6.425935416666667,BK0261,2024-12-28 19:18:22.462790
Bedford-Stuyvesant (West),5.533721153655803,BK0301,2024-12-28 19:18:22.462790
Bedford-Stuyvesant (East),7.142083798941396,BK0302,2024-12-28 19:18:22.462790
Bushwick (West),5.837229233178314,BK0401,2024-12-28 19:18:22.462790
Bushwick (East),4.941875753622186,BK0402,2024-12-28 19:18:22.462790
The Evergreens Cemetery,,BK0471,2024-12-28 19:18:22.462790
Cypress Hills,8.390121925010337,BK0501,2024-12-28 19:18:22.462790
East New York (North),6.788627708447364,BK0502,2024-12-28 19:18:22.462790
East New York-New Lots,8.398573940076913,BK0503,2024-12-28 19:18:22.462790
Spring Creek-Starrett City,8.060288572700447,BK0504,2024-12-28 19:18:22.462790
East New York-City Line,4.715893095059041,BK0505,2024-12-28 19:18:22.462790
Highland Park-Cypress Hills Cemeteries (South),21.410938076923077,BK0571,2024-12-28 19:18:22.462790
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,10.078765881953382,BK0601,2024-12-28 19:18:22.462790
Park Slope,5.847277155903457,BK0602,2024-12-28 19:18:22.462790
Windsor Terrace-South Slope,5.51301826318743,BK0701,2024-12-28 19:18:22.462790
Sunset Park (West),11.260341328197946,BK0702,2024-12-28 19:18:22.462790
Sunset Park (Central),7.114732382154883,BK0703,2024-12-28 19:18:22.462790
Green-Wood Cemetery,4.771858412698413,BK0771,2024-12-28 19:18:22.462790
Prospect Heights,5.791513265554637,BK0801,2024-12-28 19:18:22.462790
Crown Heights (North),6.540998578257409,BK0802,2024-12-28 19:18:22.462790
Lincoln Terrace Park,4.795788333333332,BK0891,2024-12-28 19:18:22.462790
Crown Heights (South),5.01926839266582,BK0901,2024-12-28 19:18:22.462790
Prospect Lefferts Gardens-Wingate,6.58128762312393,BK0902,2024-12-28 19:18:22.462790
Bay Ridge,7.315406522031074,BK1001,2024-12-28 19:18:22.462790
Dyker Heights,5.177157342947958,BK1002,2024-12-28 19:18:22.462790
Fort Hamilton,3.387694841269841,BK1061,2024-12-28 19:18:22.462790
Dyker Beach Park,6.971675765669516,BK1091,2024-12-28 19:18:22.462790
Bensonhurst,6.41157744966145,BK1101,2024-12-28 19:18:22.462790
Bath Beach,11.288582170897284,BK1102,2024-12-28 19:18:22.462790
Gravesend (West),9.31804650527403,BK1103,2024-12-28 19:18:22.462790
Sunset Park (East)-Borough Park (West),8.076834430014431,BK1201,2024-12-28 19:18:22.462790
Borough Park,10.89243746322106,BK1202,2024-12-28 19:18:22.462790
Kensington,7.753076186575393,BK1203,2024-12-28 19:18:22.462790
Mapleton-Midwood (West),8.940369702339487,BK1204,2024-12-28 19:18:22.462790
Gravesend (South),6.764809098418327,BK1301,2024-12-28 19:18:22.462790
Coney Island-Sea Gate,5.685231198486185,BK1302,2024-12-28 19:18:22.462790
Brighton Beach,5.960560425260655,BK1303,2024-12-28 19:18:22.462790
Calvert Vaux Park,,BK1391,2024-12-28 19:18:22.462790
Flatbush,9.623332591587376,BK1401,2024-12-28 19:18:22.462790
Flatbush (West)-Ditmas Park-Parkville,7.136379578609221,BK1402,2024-12-28 19:18:22.462790
Midwood,7.6298128171268695,BK1403,2024-12-28 19:18:22.462790
Gravesend (East)-Homecrest,8.68677843489373,BK1501,2024-12-28 19:18:22.462790
Madison,8.767715874229047,BK1502,2024-12-28 19:18:22.462790
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,5.710784480850444,BK1503,2024-12-28 19:18:22.462790
Ocean Hill,10.674320669162826,BK1601,2024-12-28 19:18:22.462790
Brownsville,7.812567149545756,BK1602,2024-12-28 19:18:22.462790
East Flatbush-Erasmus,6.831135753571428,BK1701,2024-12-28 19:18:22.462790
East Flatbush-Farragut,10.057776983845548,BK1702,2024-12-28 19:18:22.462790
East Flatbush-Rugby,8.442620734937364,BK1703,2024-12-28 19:18:22.462790
East Flatbush-Remsen Village,13.050676290199474,BK1704,2024-12-28 19:18:22.462790
Holy Cross Cemetery,,BK1771,2024-12-28 19:18:22.462790
Flatlands,9.332260384187318,BK1801,2024-12-28 19:18:22.462790
Marine Park-Mill Basin-Bergen Beach,13.207735727290434,BK1802,2024-12-28 19:18:22.462790
Canarsie,8.883836605586678,BK1803,2024-12-28 19:18:22.462790
Marine Park-Plumb Island,9.132414583333333,BK1891,2024-12-28 19:18:22.462790
McGuire Fields,,BK1892,2024-12-28 19:18:22.462790
Canarsie Park & Pier,10.014368333333334,BK1893,2024-12-28 19:18:22.462790
Prospect Park,10.4471719808837,BK5591,2024-12-28 19:18:22.462790
Barren Island-Floyd Bennett Field,,BK5691,2024-12-28 19:18:22.462790
Jamaica Bay (West),,BK5692,2024-12-28 19:18:22.462790
Shirley Chisholm State Park,,BK5693,2024-12-28 19:18:22.462790
Mott Haven-Port Morris,4.736108817460318,BX0101,2024-12-28 19:18:22.462790
Melrose,4.2351756481481475,BX0102,2024-12-28 19:18:22.462790
Hunts Point,,BX0201,2024-12-28 19:18:22.462790
Longwood,,BX0202,2024-12-28 19:18:22.462790
North & South Brother Islands,,BX0291,2024-12-28 19:18:22.462790
Morrisania,,BX0301,2024-12-28 19:18:22.462790
Claremont Village-Claremont (East),,BX0302,2024-12-28 19:18:22.462790
Crotona Park East,,BX0303,2024-12-28 19:18:22.462790
Crotona Park,,BX0391,2024-12-28 19:18:22.462790
Concourse-Concourse Village,5.937364583333333,BX0401,2024-12-28 19:18:22.462790
Highbridge,,BX0402,2024-12-28 19:18:22.462790
Mount Eden-Claremont (West),,BX0403,2024-12-28 19:18:22.462790
Yankee Stadium-Macombs Dam Park,,BX0491,2024-12-28 19:18:22.462790
Claremont Park,,BX0492,2024-12-28 19:18:22.462790
University Heights (South)-Morris Heights,,BX0501,2024-12-28 19:18:22.462790
Mount Hope,,BX0502,2024-12-28 19:18:22.462790
Fordham Heights,,BX0503,2024-12-28 19:18:22.462790
West Farms,,BX0601,2024-12-28 19:18:22.462790
Tremont,,BX0602,2024-12-28 19:18:22.462790
Belmont,,BX0603,2024-12-28 19:18:22.462790
University Heights (North)-Fordham,,BX0701,2024-12-28 19:18:22.462790
Bedford Park,,BX0702,2024-12-28 19:18:22.462790
Norwood,0.5297166666666666,BX0703,2024-12-28 19:18:22.462790
Kingsbridge Heights-Van Cortlandt Village,,BX0801,2024-12-28 19:18:22.462790
Kingsbridge-Marble Hill,,BX0802,2024-12-28 19:18:22.462790
Riverdale-Spuyten Duyvil,,BX0803,2024-12-28 19:18:22.462790
Soundview-Bruckner-Bronx River,,BX0901,2024-12-28 19:18:22.462790
Soundview-Clason Point,,BX0902,2024-12-28 19:18:22.462790
Castle Hill-Unionport,,BX0903,2024-12-28 19:18:22.462790
Parkchester,,BX0904,2024-12-28 19:18:22.462790
Soundview Park,,BX0991,2024-12-28 19:18:22.462790
Westchester Square,,BX1001,2024-12-28 19:18:22.462790
Throgs Neck-Schuylerville,,BX1002,2024-12-28 19:18:22.462790
Pelham Bay-Country Club-City Island,,BX1003,2024-12-28 19:18:22.462790
Co-op City,,BX1004,2024-12-28 19:18:22.462790
Hart Island,,BX1071,2024-12-28 19:18:22.462790
Ferry Point Park-St. Raymond Cemetery,,BX1091,2024-12-28 19:18:22.462790
Pelham Parkway-Van Nest,,BX1101,2024-12-28 19:18:22.462790
Morris Park,,BX1102,2024-12-28 19:18:22.462790
Pelham Gardens,,BX1103,2024-12-28 19:18:22.462790
Allerton,,BX1104,2024-12-28 19:18:22.462790
Hutchinson Metro Center,,BX1161,2024-12-28 19:18:22.462790
Williamsbridge-Olinville,,BX1201,2024-12-28 19:18:22.462790
Eastchester-Edenwald-Baychester,,BX1202,2024-12-28 19:18:22.462790
Wakefield-Woodlawn,,BX1203,2024-12-28 19:18:22.462790
Woodlawn Cemetery,,BX1271,2024-12-28 19:18:22.462790
Van Cortlandt Park,,BX2691,2024-12-28 19:18:22.462790
Bronx Park,,BX2791,2024-12-28 19:18:22.462790
Pelham Bay Park,,BX2891,2024-12-28 19:18:22.462790
Financial District-Battery Park City,9.258233675127283,MN0101,2024-12-28 19:18:22.462790
Tribeca-Civic Center,8.741488858650031,MN0102,2024-12-28 19:18:22.462790
The Battery-Governors Island-Ellis Island-Liberty Island,17.921118518518522,MN0191,2024-12-28 19:18:22.462790
SoHo-Little Italy-Hudson Square,8.290804590902649,MN0201,2024-12-28 19:18:22.462790
Greenwich Village,7.248081908006662,MN0202,2024-12-28 19:18:22.462790
West Village,7.865026447811448,MN0203,2024-12-28 19:18:22.462790
Chinatown-Two Bridges,4.579991491354649,MN0301,2024-12-28 19:18:22.462790
Lower East Side,4.295614847904796,MN0302,2024-12-28 19:18:22.462790
East Village,5.076306856956876,MN0303,2024-12-28 19:18:22.462790
